v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
5418,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
7323,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
18758,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
8954,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
16653,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
25040,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
13631,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
2971,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
11288,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
14878,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
15106,1989,1989,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
21892,1989,1989,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
2935,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
8004,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
11591,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
7212,1989,1989,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
18296,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
23748,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
8707,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
18239,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
19293,1989,1989,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
10063,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
27830,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
24222,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
32521,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
15338,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
58292,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
9033,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
19457,1989,1989,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
15250,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
7103,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
10901,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
11348,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
10122,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
18921,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
21011,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
41115,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
35670,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
12630,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
12508,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
16765,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
24279,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
13933,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
12032,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
13065,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
10754,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
10573,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
11570,1989,1989,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
38323,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
22194,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
5744,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
10286,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
9211,1989,1989,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
10451,1989,1989,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
9899,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
15911,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
15526,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
33326,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
6237,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
6148,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
21078,1989,1989,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
24289,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
39290,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
5389,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
4832,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
27229,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
11675,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
9289,1989,1989,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
19457,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
1288,1989,1989,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
45700,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
49742,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
4075,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
6652,1989,1989,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
11596,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
10031,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
9330,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
24235,1989,1989,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
10596,1989,1989,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
19543,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
21545,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
24235,1989,1989,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
4726,1989,1989,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
5134,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
6669,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7950,1989,1989,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
7213,1989,1989,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
15999,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
9289,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
15096,1989,1989,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
11564,1989,1989,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
19629,1989,1989,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
13434,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
2671,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
13846,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
3442,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
18991,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
1934,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
24092,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
22284,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
28320,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
4446,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
4428,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
5249,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
15728,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
2632,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
3490,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
3770,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
15854,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
24461,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
17477,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
20007,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
31663,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
3456,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
4920,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
12276,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
11882,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
9347,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
9506,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
13392,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
25499,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
1123,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
19590,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
2642,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
7970,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
41174,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
3345,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
5623,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
5062,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
5515,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
3898,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
10673,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
12178,1980,1980,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
15018,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
6175,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
12247,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
19973,1980,1980,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
18292,1980,1980,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
17634,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
5623,1980,1980,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
5632,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
6424,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
6886,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
8914,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
12225,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
18645,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
25745,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
22820,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
28309,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
5628,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
4228,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
25632,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
36964,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
5347,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
6273,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
8156,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
12973,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
15965,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
10406,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
4520,1980,1980,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
5681,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
19992,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
14939,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
15895,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
35882,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
3448,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
4463,1980,1980,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
5150,1980,1980,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
9385,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
3005,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
3428,1980,1980,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
11592,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
7973,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
3988,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
5299,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
7216,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
4964,1980,1980,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
16054,1980,1980,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
15953,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
12395,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
20178,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
4206,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
3652,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
17981,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
19973,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
18824,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
40010,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
15794,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
25755,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
2382,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
3015,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
545,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
9489,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
8461,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
6536,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
10710,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
1738,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
1840,1980,1980,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
4495,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
4475,1980,1980,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
7248,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
10102,1980,1980,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
2296,1980,1980,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
15855,1980,1980,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
3782,1980,1980,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
2676,1980,1980,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
4463,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
6782,1980,1980,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
7251,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
7179,1980,1980,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
4491,1980,1980,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
11264,1980,1980,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
16237,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
6037,1996-97,1996-97,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
14622,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
6965,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
35473,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
33026,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
22318,1996-97,1996-97,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
63750,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
56245,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
624,1996-97,1996-97,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
42740,1996-97,1996-97,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
13396,1996-97,1996-97,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
25750,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
12850,1996-97,1996-97,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
35867,1996-97,1996-97,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
11034,1996-97,1996-97,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
